SMILES,LogP
Cc1ccc(NC2NCCN=2)c(Cl)c1,1.8
Cc1cccc(Cl)c1NC1NCCN=1,1.71
Cc1cc(Cl)c(N=C2NCCN2)c(Cl)c1,1.92
Cc1cc(Cl)cc(Cl)c1NC1NCCN=1,2.38
Cc1cc(Cl)c(NC2NCCN=2)c(C)c1,2.1
Cc1cc(Cl)cc(C)c1NC1NCCN=1,2.5
CC(=O)CP(=O)(OC)OC,-0.86
Cn1c(cnc1c2ccc(F)cc2)N(=O)=O,1.83
Clc1cccc(Cl)c1N=C1NCCN1,1.59
Brc1cccc(Br)c1NC1NCCN=1,1.96
Nc1ccc(c[n]1)[N+]([O-])=O,0.65
c1ccccc1C2(c3ccccc3)C(=O)N(C)C(=O)N2,2.28
FC(F)(F)c1[nH]c2cc(Cl)cc(Cl)c2[n]1,3.49
FC(F)(F)c1[nH]c2c([n]1)c(Cl)ccc2Cl,2.87
Cc1c2[nH]c3ccccc3c2cc2c[n]ccc21,4.06
C(c1ccccc1)[n]1c[n]cc1,1.6
O=C1NC(=O)NC(=O)C1(CC)C(C)CC(O)C,0.35
NC(=O)OC(C)(C)C,0.48
NC(=O)OCCCCCCC,2.36
CCN(CC(O)c1ccccc1)CC,2.02
Nc1[n]c[n]c2c1[n]c[n]2Cc1ccccc1,1.7
NS(=O)(=O)c1c(Cl)cc2NC(C(Cl)(Cl)Cl)NS(=O)(=O)c2c1,0.82
NC(Cc1ccccc1)Cc1ccccc1,3.35
CCCCCCCI,4.7
CS(=O)(=O)Nc1ccc(Cl)cc1,1.85
Nc1[n]c(Cl)[n]c2c1[n]c[n]2[C@H]1C[C@H](O)[C@@H](CO)O1,0.02
CC#CC#CC#Cc1ccccc1,4.91
c1ccccc1COC2OC(CO)C(O)C(O)C2O,-0.7
CCNC(=O)c1ccc[n]c1,0.31
CCC1=CSSC1=O,1.9
CN1CCCNCC1,-0.4
CC(=O)C(=Cc1ccccc1)C(C)=O,1.59
CN(C)N=Nc1[n]c[nH]c1C(N)=O,-0.24
C[Se]c1ccccc1,2.87
C1=CC(=O)C=C2CCC3C4CC(C)C(OC(=O)CC)(C(=O)C)C4(C)CC(O)C3(F)C12C,3.09
O=C1C=C2CCC3C4CC(C)C(OC(=O)CC)(C(=O)C)C4(C)CC(=O)C3(F)C2(C)C=C1,3.09
O=S(=O)(Oc1ccccc1)c1ccccc1,3.06
COCC(C1C(=O)Oc2ccccc2C=1O)C1C(=O)Oc2ccccc2C=1O,1.38
C(c1ccccc1)[n]1cc[n][n]1,1.27
NS(=O)(=O)c1ccc(cc1)-c1ccccc1,2.24
COC(=O)c1ccccc1C(O)=O,1.13
CCC1(CCC(C)C)C(=O)NC(=S)NC1=O,2.98
OC(=O)c1ccc[n]c1Nc1cc(ccc1)C(F)(F)F,4.43
CC(C)C(=O)Nc1ccccc1,1.95
c1ccccc1C2=C(C)C(=O)c3cccc(CC=C)c3O2,4.67
c1cc(N(=O)(=O))ccc1C(O)C(CO)NC(=O)C,-0.03
c1cc2C(=O)N3CCCCCC3=Nc2cc1,2.0
N#CC1=CNC(=O)NC1=O,-0.93
CCC(N=C=S)C,2.81
CC(C)COCCO,0.75
N1C(=O)NC(=O)C=C1C(=O)OCCCCC,1.62
N1C(=O)NC(=O)C=C=C1C(=O)OCCCCCC,1.76
N1C(=O)NC(=O)C=C1C(=O)OC(C)C,0.81
N1C(=O)NC(=O)C=C1C(=O)OCCC,1.1
NC(=O)Cc1ccc[s]1,0.33
c1cc(N)cc(O)c1C(=O)Oc2ccc(OC)cc2,3.07
CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc12,2.5
N#Cc1ccc[nH]1,1.13
Nc1[n]c([n]c(N)[n]1)-c1ccc(Cl)cc1,2.33
Nc1[n]c([n]c(N)[n]1)-c1cc(Cl)ccc1,2.33
CC(=O)Oc1ccccc1Cl,2.18
C[n]1c[n]c(c1N)[N+]([O-])=O,-1.0
c1ccccc1C(CCCCC)CCCCCCC,8.56
c1ccccc1C(CCCC)CCCCCCCC,8.56
c1ccccc1C(CC)CCCCCCCCCC,8.65
c1ccccc1C(C)CCCCCCCCCCC,8.77
c1ccccc1C(CCCCC)CCCCCCCC,9.16
c1ccccc1C(CCCC)CCCCCCCCC,9.16
c1ccccc1C(CC)CCCCCCCCCCC,9.29
c1ccccc1C(C)CCCCCCCCCCCC,9.29
c1ccccc1C(CCC)CCCCCCC,7.59
c1ccccc1C(CC)CCCCCCCC,7.53
c1ccccc1C(CCCC)CCCCC,6.9
c1ccccc1C(CCC)CCCCCC,7.0
c1ccccc1C(C)CCCCCCCC,7.06
CCCCCC(CCCCC)c1ccccc1,7.45
NC(=S)c1[n]ccc[n]1,-0.34
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c2c1[n]c[n]c2NC(=O)c1ccccc1,-0.1
O1C(CO)C(O)CC1N2c3nc(N)nc(N)c3N=C2,-0.52
O[C@H]1C[C@@H](O[C@@H]1CO)[n]1c[n]c2c1[n]c[n]c2NC(=O)c1ccccc1,0.22
CCCCN(CC)N=O,1.63
NC(=O)c1ccc[nH]1,0.09
Cc1c(cc(cc1[N+]([O-])=O)C(N)=O)[N+]([O-])=O,0.68
NC(=O)N(C)c1ccccc1,0.42
CC1OC(CC(O)C1O)OC2C(C)OC(CC2O)OC3C(C)OC(CC3O)OC4CCC5(C)C(CCC6C5CCC7(C)C(C(O)CC67O)C8=CC(=O)OC8)C4,1.67
NS(=O)(=O)Cc1ccccc1,0.13
CC(=O)O[C@@H]1CC(=O)O[C@H](C)CC2OC2C=CC(=O)[C@H](C)C[C@H](CC=O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@@H]([C@H]2O)N(C)C)[C@H]1OC |t:16|,3.04
CCCCCOC(=O)c1cc(O)c(O)c(O)c1,2.67
Nc1[n]cco1,-0.18
Brc1c[n]c[n]c1,0.72
CNc1cccc[n]1,1.12
C1(=O)NC(C(=O)OCC(C)C)=CC(=O)N1,1.01
NNC(=O)c1ccnc(CC)c1,0.12
COc1ccc(cc1)C(=O)CCCC(O)=O,1.63
c1ccccc1C(CC)CCCCCCC,7.0
NC(=S)c1ccc[n]c1,0.67
ONc1ccn(=O)c2ccccc12,0.0
c1ccc2c(Cl)ccn(=O)c2c1,1.08
CN(C)CCC(c1ccccc1)c1ccccc1,4.31
CCCCc1ccc(cc1)N1C(N)=NC(N)=NC1(C)C,2.66
CC(=C)C(=O)OC(C)C,2.25
CSc1[n]c(N=[N+]=[N-])[n]c(NC(C)C)[n]1,3.0
OC1C(C)(C)C2(O)C(O)CC3(C4)C(O)C(C4(C)O)CCC3C(C)(O)C2C1,0.27
OC(=O)c1cccc(Cl)[n]1,1.5
C[n+]1ccc(cc1)-c1cc[n+](C)cc1,-4.22
CC1(C)S[C@@H]2[C@H](NC(=O)C(c3ccccc3)C(O)=O)C(=O)N2[C@H]1C(O)=O,1.13
Clc1ccccc1NC1NCCN=1,1.36
CCc1cccc(CC)c1NC1NCCN=1,2.48
OC1C(O)C(Oc2ccc(Cl)cc2)OC(CO)C1O,0.26
c1c(CC(N)C)cc2OCOc2c1,1.64
CCC1(CC)OC(=O)c2ccccc12,2.69
Clc1c[n]cc(Cl)[n]1,1.53
COc1c[n]cc([n]1)OC,1.58
CC1(C)S[C@@H]2[C@H](NC(=O)C(C)(C)Oc3ccccc3)C(=O)N2[C@H]1C(O)=O,2.76
OCc1cccc2ccccc21,2.37
c1ccccc1Oc1cccc[n]1,2.39
CCOC(=O)c1cc(c(Cl)cc1NCc2ccco2)S(=O)(=O)N,2.67
[O-]P(=O)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,2.64
O=C(OC1C2C=CC1C=C2)c1ccccc1,3.03
O=P(OCC)(OCC)Oc1cc(C)c(SC)cc1,3.28
CC(C)Oc1ccccc1O,2.09
c1cc2NC(CCC(=O)O)=NS(=O)(=O)c2cc1,-0.18
c1ccc2c(N(=O)(=O))cc(C)n(=O)c2c1,1.25
C1CCC2CCC(=O)CC2C1,1.97
Cc1c(cccc1[N+]([O-])=O)OC,2.68
CCCCCCN1CCCC1=O,2.6
CN(C)C(=O)Nc1cc(O)ccc1,0.51
N1CCNC1=Nc2c(C)cccc2C,1.45
C1=C(F)C(=O)NC(=O)N1Cc2ccccc2,0.89
c1cc(N(=O)=O)cc(N(=O)=O)c1SCC(=O)OC,2.05
O=C1CC(c2ccccc2N1)c1ccccc1,2.79
O=C1CCC(CC1)c1ccccc1,2.3
C[n]1c[n]c(c1Cl)[N+]([O-])=O,1.06
C[n]1c[n]c(Cl)c1[N+]([O-])=O,0.69
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,4.21
CCC(C)c1ccc(cc1)OCC(O)=O,3.12
CCOc1ccc(CC(O)=O)cc1,1.95
Cc1cccc(O)c1[N+]([O-])=O,2.29
Nc1cc2C(=NCC(=O)Nc2cc1)c1ccccc1,1.0
O=C(Nc1ccccc1)Oc1ccccc1,3.3
CCCNC(=O)NS(=O)(=O)c1ccccc1,1.44
CCC1OC=CC(=O)C=1O,0.63
O=C1CN=C(c3ccccc3)c2cc(N(=O)=O)cc(C)c2N1,2.44
n1c(F)cncc1,0.29
CN1C(=O)CN=C(c2cc(N)ccc12)c1ccccc1,1.46
COc1cc2[n]cccc2cc1,2.37
c1ccc2C(=O)C=CC(=NO)c2c1,2.27
Brc1cc2[n]cccc2cc1,2.92
Cc1[n]o[n]c1C,0.71
C1CCCCC1N(Sc1[n]c2ccccc2[s]1)C1CCCCC1,4.8
C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,2.11
OCC1OC(C(O)C1O)n2cnc3c(S)ncnc23,-0.6
Cn1c(C=NNC(N)=S)ncc1N(=O)=O,0.65
c1cc(O)c(OC)cc1C(O)CNC,-0.64
O=C1NN=C(c2ccccc21)c1ccccc1,2.48
[O-][N+](=O)c1[n]cc[n]1CCO,-0.47
CC(C)CNC(=O)Nc1ccc(Cl)c(Cl)c1,4.48
c1cc(N)ccc1S(=O)(=O)Nc2c(OC(C)C)c(OC)ncn2,1.03
c1[n]c2ccccc2[n]c1-c1ccccc1,3.48
c1cc(Cl)ccc1C2=CCN(C)CC2,3.32
Nc1c[n]cc[n]1,-0.07
n1c(C)nccc1,-0.05
O=C1CCC(C)N1C,-0.07
c1ccc2C(=O)C(C(=O)C(c3ccccc3)c4ccccc4)C(=NN)c2c1,3.62
ClC12C(Cl)(Cl)C(C(C(Cl)C3Cl)C2C3Cl)(Cl)C(Cl)=C1Cl,6.215
CC(C(O)=O)c1cc(F)c(cc1)-c1ccccc1,4.16
Clc1cc(Br)c2N=C(C)NS(=O)(=O)c2c1,1.65
[Na+].CCN(CC)c1cc(ccc1)S([O-])(=O)=O,-1.6
[O-][N+](=O)c1cc(ccc1Nc1ccccc1)S(=O)(=O)Nc1ccccc1,4.6
Nc1cc(N)c(Cl)cc1,0.85
c1ccc2c(N)cnnc2c1,1.04
C=CCCBr,2.53
NC(=O)c1c[n]c2ccccc2[n]1,0.98
Nc1cc2cc[nH]c2cc1,0.7
CC=CC=CC,2.8
COC(=O)c1cc(Cl)ccc1N,3.3
C[n]1cc([n]c1[N+]([O-])=O)[N+]([O-])=O,-0.17
n1c(N(C)C)cncc1,0.93
O=C(Cc1ccccc1)Nc1ccccc1F,2.62
O=C(Cc1ccccc1)Nc1cccc(F)c1,3.1
CC(=O)Nc1cc[n]cc1,0.5
CC(=O)Nc1cccc[n]1,0.61
CC(=O)c1ccccc1NC(C)=O,1.5
CC1OCCSC=1C(=O)Nc1ccccc1,2.14
Cc1onc(c1C(=O)NC3C2SC(C)(C)C(N2C3=O)C(O)=O)c4c(F)cccc4Cl,2.58
OC(=O)CONC(=O)c1ccccc1,-0.27
c1cc(N)ccc1C(=O)NCC(=O)OC,-0.23
CC1OCCS(=O)(=O)C=1C(=O)Nc1ccccc1,0.77
OCCCCc1cc[n]cc1,0.9
COc1cc([n]c[n]1)OC,0.96
OCC1OC(OC2CCCCC2)C(O)C(O)C1O,-0.63
N#CSc1ccccc1,2.54
CCOC(=O)C(=Cc1ccccc1)C(=O)OCC,3.13
C=CCSc1ccccc1,3.51
CC1OC(CC(O)C1O)OC2C(C)OC(CC2O)OC3C(C)OC(CC3O)OC4CCC5(C)C(CCC6C5CC(O)C7(C)C(CCC67O)C8COC(=O)C8)C4,1.36
Nc1cc(c(N)cc1)[N+]([O-])=O,0.53
ON1C=Nc2ccccc2C1=O,-0.45
Nc1ccc(I)cc1C(O)=O,2.06
CCNC(=O)CBr,0.34
Oc1ccc(Cl)cc1CO,1.44
Brc1cc2ccccc2[n]c1,3.03
Brc1cc2ccc[n]c2cc1,2.83
Cc1[nH][n]cc1[N+]([O-])=O,1.02
[O-][N+](=O)c1ccc(CCBr)cc1,2.9
OCCc1cc[n]cc1,0.1
[O-][N+](=O)c1cccc(Cl)c1C(O)=O,1.56
COc1ccc(N)cc1Cl,1.85
Nc1cc(Cl)c(Cl)cc1N,2.0
OC(=O)COc1ccccc1-c1ccccc1,2.83
NN=C(c1ccccc1)c1ccccc1,2.79
NNC(=O)c1ccc(O)cc1,-0.33
C1C2CCC3C4(O)CCC(C5=CC(=O)OC5)C4(C)C(O)CC3C2(C)CCC1OC6CC(O)C(O)C(C)O6,1.09
COc1ccc(Cc2c[n]c(N)[n]c2N)cc1OC,0.97
CC(=O)O[C@H]1[C@@H](O)C[C@@H](O[C@@H]1C)O[C@H]1[C@@H](O)C[C@@H](O[C@@H]1C)O[C@H]1[C@@H](O)C[C@H](O[C@H]2CC[C@]3(C)[C@H]4C[C@@H](O)[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@@H]3C2)C2COC(=O)C=2)O[C@@H]1C,2.0
Cc1ccccc1C1=NCC(=O)Nc2ccc(Cl)cc21,3.12
c1c(Cl)cc2C(c3cc(OC)ccc3)=NCC(=O)Nc2c1,3.14
c1c(OC)cc2C(c3ccccc3)=NCC(=O)Nc2c1,2.24
NC(=O)c1ccccc1NC(C)C,2.07
c1nnnn1c2ccccc2,1.09
COC(=O)c1ccc[s]1,1.83
NNC(=O)c1cc2ccc[n]c2cc1,0.35
c1ccc2C(c3ccccc3)OC(=O)c2c1,2.64
[O-][N+](=O)c1cc2Cc3cc(ccc3-c2cc1)[N+]([O-])=O,3.35
CC(=O)OCc1ccc(Cl)cc1,2.59
OC(CN1CCCC1)c1ccccc1,1.38
CC(=O)Nc1c(Cl)c(C(F)(F)F)cc(F)c1,2.86
CC1C(=O)c2ccccc2C(=O)C=1OC,2.14
CC(=O)Nc1cc2ccccc2[n]c1,1.92
Nc1[nH]c2ccc(Cl)cc2[n]1,1.88
Nc1c[n]c2ccccc2[n]1,1.5
O=C(c1c[n]ccc1)c1ccccc1,1.88
Cc1ccc(cc1O)[N+]([O-])=O,2.47
CN(N=O)C1CCCCC1,1.43
c1cc(N(C)C)ccc1C=CC(=O)C,2.66
CC1C=CN2C(C=1)=NC=C(C(=O)OCC)C2=O,0.9
CCOC(=O)c1ccc(cc1)S(N)(=O)=O,1.17
COc1ccc(c[n]1)[N+]([O-])=O,1.55
CC(=C(C#N)C#N)c1ccccc1,2.1
c1c(C)cccc1C(=O)N(C(C)C)C(C)C,3.0
NC(=O)c1ccc[n][n]1,-0.73
NC(=O)Cc1cccc[n]1,-0.65
CC(=O)Oc1cc(ccc1)OC,1.61
NS(=O)(=O)c1ccccc1[N+]([O-])=O,0.34
CCCNC(=O)c1ccc(cc1)S(N)(=O)=O,0.51
CCNC(=O)Cc1ccccc1,1.0
Nc1[n][n][n][n]1-c1ccccc1,0.69
Nc1ccc(Cl)[n][n]1,0.35
COc1ccc(cc1)NC=O,1.03
CS(=O)(=O)c1ccc(N)cc1,-0.12
O=Cc1ccc2ccccc2[n]1,2.14
OC(c(cccc1)c1)c(c(ccc2)C)c2,3.06
N#CC1CC1,0.68
CC(CC)c1cccc(C(C)CC)c1O,4.36
CC(=O)O[C@H]1C[C@@H](O[C@H](C)[C@H]1O)O[C@H]1[C@@H](O)C[C@@H](O[C@@H]1C)O[C@H]1[C@@H](O)C[C@H](O[C@H]2CC[C@]3(C)[C@H]4C[C@@H](O)[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@@H]3C2)C2COC(=O)C=2)O[C@@H]1C,1.97
CCCCCCCCCCOc1ccc(cc1)C(O)=O,6.29
Cc1c[n]c(c[n]1)C(N)=O,-0.25
Cc1c[n]cc([n]1)C(N)=O,-0.13
[O-][N+](=O)c1ccc2ccc3cccc4ccc1c2c34,5.06
C1Cc2cc3OC(C(=O)O)=CC(=O)c3cc2CC1,3.4
CCCOC(=O)Nc1ccccc1,2.8
Cc1ccc(O)c2[n]cccc21,2.37
CC(C(O)=O)(c1ccccc1)c1ccccc1,2.69
c1c(C)c2NC(=O)CN=C(c3ccccc3)c2cc1C,2.94
c1cc2NC(=O)CN=C(c3ccccc3)c2cc1C,2.62
c1c(Cl)cc2C(c3ccccc3)=NCC(=O)N(CC)c2c1,3.21
OC(=O)CCCCCc1ccccc1,3.27
[O-][n+]1o[n]c(c1-c1ccccc1)-c1ccccc1,3.64
C=CCSCC1NS(=O)(=O)c2cc(c(Cl)cc2N1)S(N)(=O)=O,1.17
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)CC)C(=O)COC(=O)CC,4.07
n1c(C)cncc1NC(=O)C,0.38
c1cc(C)ccc1NC(=O)OC,2.29
n1c(N(C)C)nccc1,1.07
O=NN1CCNCC1,0.18
CNCCc1cccc[n]1,0.68
Oc1ccccc1C(=O)NC(=O)c1ccccc1,1.38
C=CCNCCC,1.33
Cc1c(cccc1OC)OC,2.87
CCCCNC(=O)NO,0.32
NCCCCNC(=O)c1ccccc1,0.58
CCNC(=O)NO,-0.76
CCCNC(=O)NO,-0.22
CC(=O)Oc1ccccc1C#N,1.33
CN(C)O,-1.15
Cc1[n][s][n]c1C,1.28
c1ccc2nn(O)nc2c1,0.69
c1ccccc1OC=CC(=O)OC,2.68
CCOC(=O)c1cc[s]c1,2.32
Cc1cc[n]o1,0.45
COc1cc(ccc1)C(=O)NN,0.4
CC1(C)[C@H]2C[C@H](CC2)C1=C,4.22
COc1cc(ccc1)C(N)=O,0.85
NC(=O)c1ccc[s]1,0.52
NC(=O)/C=C/c1cc2OCOc2cc1,1.4
NNC(=O)c1cccc(O)c1,-0.08
CNC(=O)Oc1ccc(N(=O)(=O))cc1,1.47
C1CCCCC1CC(=O)N(C)C,2.19
c1ccccc1C2C(=O)NC(=O)O2,1.09
c1ccccc1C2C(=O)N(C)C(=O)O2,1.06
CC(=O)Nc1ccc[n]c1,0.41
OC(=O)Cc1cc(Br)c(cc1)OCc1ccccc1,3.51
Cc1ccc(Cl)cc1NC(C)=O,1.82
CC1NC(=O)N(C(=O)C=1Cl)C(C)(C)C,1.89
Cc1[n]cc[n]c1C,0.54
CCNc1[n]c(Cl)[n]c(NC(C)(C)C)[n]1,3.21
CC(C)(C)c1cccc[n]1,2.4
CC2CC1OC(=O)C(=C)C1C(O)C3(C)C2C=CC3(=O),0.615
CC(CC(C3=C)C2OC3=O)(C1=O)C(C=C1)C(C2)C,1.17
CCCCCc1cc2OC(C)(C)C3CC=C(C)CC3c2c(O)c1,7.41
c1ncccc1C2CCC(=O)N2,-0.3
CC1=CN([C@H]2C=C[C@@H](CO)O2)C(=O)NC1=S,0.09
OC[C@@H]1CC[C@@H](O1)N1C=CC(=O)NC1=O,-1.0
NCCCCc1c[n]ccc1,0.88
CCCC(C)O,1.19
c1cc(OC)ccc1OC2OC(CO)C(O)C(O)C2O,-0.73
Oc1c(C=CC(=O)C)cccc1,2.19
c1cc(OC)ccc1Nc2c3ccc(Cl)cc3ncc2,4.94
CCCCC(O)C(=O)O,0.81
O=C(OC(c1cccc2)CCCC)c12,2.8
C(c1ccccc1)[n]1c[n]c[n]1,0.92
CN1N=Cc2ccccc2C1=O,0.61
COc1ccccc1OC2OC(CO)C(O)C(O)C2O,-1.04
c1ccc(C)cc1OC2OC(CO)C(O)C(O)C2O,-0.2
NCCCNC(=O)c1ccccc1,0.3
[O-][N+](=O)CCc1ccccc1,2.08
C1(CCCCC2)=C2SSC1=S,3.27
CC1=C(CC)SSC1=S,2.95
CC(C)(N(=O)(=O))C=NOC(=O)NC,0.36
COc1cc(Cl)c(Cl)cc1Cl,3.85
O=NN1C(C)(C)CCCC1(C)C,2.49
CNC(=O)Oc1cc(ccc1)[N+]([O-])=O,1.39
CC(=O)c1cc(ccc1)C#N,1.16
CC(=O)c1ccccc1NC(=O)C(Cl)Cl,2.65
CSc1[n]c2ccccc2c[n]1,2.5
c1c(OC)cccc1C2C(=O)c3ccccc3C2=O,2.88
COC(=O)C1=CC(=O)NC(=O)N1,0.63
[O-][N+](=O)c1[n]c(Br)[nH]c1Br,2.82
NS(=O)(=O)c1ccc(N(C)C)cc1,0.76
COC(=O)c1c[n]cc[n]1,-0.23
Cc1cc(Cl)ccc1N=CN(C)C,2.89
OC(=O)COc1cc(NC(=O)N)ccc1,0.26
CCOC(=O)C(=C(C(=O)OCC)C(=O)OCC)C(=O)OCC,2.63
CC(C)Nc1[n]c(N)[n]c(Cl)[n]1,1.51
n1c(OC)cccc1OC,2.3
COc1cc2[nH]c(N)[n]c2cc1,0.57
[O-][N+](=O)c1ccc(C=NO)o1,0.3
OCCNC(=O)c1c[n]ccc1,-0.11
CCC1(CCC(C)C)C(=O)NC(=O)N(C)C1=O,2.45
O=C1C=NC=CN1,-1.49
c1cc(N(=O)(=O))oc1C=CC(=O)O,0.68
OCNC(=O)c1ccccc1,0.4
Nc1cc(ccc1Cl)[N+]([O-])=O,2.23
Cc1cc2[nH]c(N)[n]c2cc1,1.11
CC1=CC(=O)C=C(Br)C1=O,1.21
OCCc1c[n]ccc1,0.12
[Br-].CCC[n+]1cccc2ccccc12,-2.52
Nc1cc2[n]cc[n]c2cc1,0.9
CCCCCCCC(=O)NN,1.0
NC(=O)c1ccc(cc1)S(N)(=O)=O,-0.83
NC(=O)Nc1ccc(cc1)C(O)=O,0.73
CC(=O)Nc1ccccc1SC,1.53
CC(=O)Oc1cc(ccc1)NC(C)=O,1.03
n1ccc(C(=O)c2ccc(Cl)cc2)cc1,2.61
N#Cc1ccc(cc1)NC=O,1.08
Oc1ccccc1OCC(O)=O,0.85
NS(=O)(=O)c1ccc(cc1)[N+]([O-])=O,0.64
c1ccccc1CCOC(=O)N,1.5
c1c(N(=O)(=O))cccc1C=C(C(=O)OCC)C(=O)OCC,2.71
CNS(=O)(=O)c1ccc(Cl)cc1,1.92
CC(=O)Nc1c(C)cc(O)cc1C,0.31
CC(=O)Nc1cc(ccc1)OCC(O)=O,0.48
C[n]1c[n]c(c1S(N)(=O)=O)[N+]([O-])=O,-0.74
Nc1cccc2c1Cc1ccccc-21,3.18
CNC(=O)C(Cc1ccc(O)cc1)NC(=O)C,-0.32
Nc1ccc(cc1)C1CCCCC1,3.65
O=P(N1CCCC1)(N1CCCC1)N1CCCC1,1.67
[N-]=[N+]=Nc1ccc(cc1)C(O)=O,2.54
o1c(N(=O)(=O))ccc1C=Cc2nc(C)cs2,1.53
c1c(OC)cc2N=C(C)NS(=O)(=O)c2c1,0.56
Clc1cc(ccc1)Oc1ccccc1,4.75
O1c2ccc3C(C)=CC(=O)Oc3c2C=C1,2.32
O=C1C(c2ccccc2)C(=O)NC1=O,2.26
CN1C(=O)C=Nc2ccccc12,0.79
CC(=O)Nc1c[n]c2ccccc2[n]1,1.53
Clc1[n]c([n]c2ccccc21)-c1ccccc1,4.47
CC1=CC[C@H](CC1=O)C(C)=C,2.71
N(=O)(=O)c1cc(C(=O)Nc2ccc(Cl)cc2)c(O)cc1,2.54
[O-][N+](=O)c1cccc(c1O)C(=O)Nc1ccc(Cl)cc1,2.16
C1COCCN1CCn2cnc(N(=O)=O)c2,-0.38
[O-][N+](=O)c1c[n]c[n]1CCN1CCOCC1,0.07
CCN(CC(=O)NC1CCc2ccccc21)CC,2.74
Oc1[n]c(Cl)c(Cl)cc1Cl,3.21
CN(C)C(=O)c1ccccc1Cl,1.54
CC(C)c1ccccc1[N+]([O-])=O,3.34
COc1ccccc1-c1[nH]c2ccccc2[n]1,3.02
OC(=O)Cc1ccc(cc1)OCc1ccccc1,2.72
c1c(C)cc(C)cc1C2C(=O)c3ccccc3C2=O,4.02
O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O,-2.57
Ic1ccc2ccccc2[n]1,3.04
c1ccccc1c2ccccc2NC(=O)C3=C(C)OCCS3,2.54
C(OC)(c2ccccc2)CN1CCCC1,1.88
CC1OCCSC=1C(O)=O,0.04
O=n1cc(O)ccc1,-0.61
[O-][N+](=O)c1cc2[n]c([nH]c2cc1Cl)C(F)(F)F,3.21
CC(C)(C)C(=O)Nc1ccccc1,1.99
Nc1ccc(cc1)S(=O)(=O)c1ccc(Br)cc1,2.85
O=C1c2ccccc2C(=O)C=C1Nc1ccccc1,2.84
c1ccccc1Nc1cccc[n]1,2.75
c1cc(OC(=O)C)ccc1CC(N)C(=O)O,-1.33
Nc1cc2Cc3cc(Br)ccc3-c2cc1,3.92
Cc1cc(Cl)c(Cl)cc1Cl,4.56
Clc1cc(ccc1)N1CCNCC1,2.11
Oc1c(Cl)cc(Cl)cc1CO,2.3
CNC(=O)OC,-0.06
O=NN1CCC(CC1)c1ccccc1,2.59
N#CCCN(CCO)c1ccc(cc1)N=Nc1ccc(cc1Cl)[N+]([O-])=O,4.0
NC(CO)C(=O)NC(CC(C)C)C(=O)O,-2.49
Oc1cc2OC(=CC(=O)c2cc1)c1ccccc1,3.62
C1CCN2CCCCCC2=N1,1.38
C1C(=O)C=C2CCC3C4CCC(O)(C(=O)COC(=O)CC)C4(C)CC(O)C3C2(C)C1,2.8
C1(=O)C=C2CCC3C4CCC(O)(C(=O)COC(=O)CCC)C4(C)CC(O)C3C2(C)CC1,2.91
C12(C)C3C(O)CC4(C)C(C(=O)COC(=O)CCCCCCC)(O)CCC4C3CCC2=CC(=O)CC1,5.49
CC(C)(C)c1cc(CCC(=O)OCC(COC(=O)CCc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)(COC(=O)CCc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)COC(=O)CCc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C,1.36
C1NC2=CC=NN2C1,-0.25
O=C1C(c2ccc(cc2)C(F)(F)F)C(=O)c2ccccc12,3.78
C1=CC(N)=NC(=O)N1C2C(OC(=O)C)C(OC(=O)C)C(COC(=O)C)O2,-0.8
CCCCCCCCCCCc1ccccc1,8.14
c1cc(N(=O)(=O))oc1C=CC(=O)N(C)C,0.82
o1c(N(=O)(=O))ccc1C=CC2=NC=CN2,1.32
CCOC(=O)C(=Cc1ccccc1Cl)C(=O)OCC,3.15
CCOC(=O)C(=Cc1cc(Cl)ccc1)C(=O)OCC,3.49
COc1ccccc1C=C(C(=O)OCC)C(=O)OCC,3.29
COCc1ccc(COC)cc1,1.28
COc1cc(C=C(C(=O)OCC)C(=O)OCC)ccc1,3.18
c1ccccc1CN2C(=O)NC(=O)C2,0.76
CC(=O)c1cc(ccc1)C(C)=O,1.43
CCOC(=O)C(=Cc1ccc(Cl)cc1)C(=O)OCC,3.96
Nc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)[N+]([O-])=O,2.14
c1ccc(Cl)cc1Oc2ccc(Cl)cc2,5.13
