SMILES,InChI,Sol,RB,MW
CCNc1nc(NC(C)C)nc(SC)n1,"InChI=1S/C9H17N5S/c1-5-10-7-12-8(11-6(2)3)14-9(13-7)15-4/h6H,5H2,1-4H3,(H2,10,11,12,13,14)",-7.65,5,227.1204665
CCC=O,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",-3.43,1,58.04186481
CCCCCCCCC,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",3.13,6,128.1565006
CCCCCCO,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",-4.4,4,102.1044651
CCCCC/C=C/C=O,"InChI=1S/C8H14O/c1-2-3-4-5-6-7-8-9/h6-8H,2-5H2,1H3/b7-6+",-3.43,5,126.1044651
Oc1ccc(F)cc1,"InChI=1S/C6H5FO/c7-5-1-3-6(8)4-2-5/h1-4,8H",-6.19,0,112.032443
COC(CC#N)(OC)OC,"InChI=1S/C6H11NO3/c1-8-6(9-2,10-3)4-5-7/h4H2,1-3H3",-6.4,4,145.0738932
Nc1cnn(-c2ccccc2)c(=O)c1Cl,"InChI=1S/C10H8ClN3O/c11-9-8(12)6-13-14(10(9)15)7-4-2-1-3-5-7/h1-6H,12H2",-16.43,1,221.0355896
O=c1[nH]cc(Cl)c(=O)[nH]1,"InChI=1S/C4H3ClN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",-17.74,0,145.988305
OCc1ccccc1,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",-6.62,1,108.0575149
CNC(=O)O/N=C\C(C)(C)SC,"InChI=1S/C7H14N2O2S/c1-7(2,12-4)5-9-11-6(10)8-3/h5H,1-4H3,(H,8,10)/b9-5-",-9.84,3,190.0775987
CN(C)CCOC(c1ccccc1)c1ccccc1,"InChI=1S/C17H21NO/c1-18(2)13-14-19-17(15-9-5-3-6-10-15)16-11-7-4-8-12-16/h3-12,17H,13-14H2,1-2H3",-9.34,6,255.1623143
CCCC(=O)OC,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3",-2.83,2,102.0680796
CC(C)c1ccccc1,"InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3",-0.3,1,120.0939004
CCC(C)(C)CC,"InChI=1S/C7H16/c1-5-7(3,4)6-2/h5-6H2,1-4H3",2.56,2,100.1252005
CCCOC=O,"InChI=1S/C4H8O2/c1-2-3-6-4-5/h4H,2-3H2,1H3",-2.48,3,88.0524295
C[C@H](O)C(F)(F)F,"InChI=1S/C3H5F3O/c1-2(7)3(4,5)6/h2,7H,1H3/t2-/m0/s1",-4.16,0,114.0292494
CCCCBr,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3",-0.4,2,135.9887624
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,InChI=1S/C12H3Cl7/c13-6-2-1-4(8(15)10(6)17)5-3-7(14)11(18)12(19)9(5)16/h1-3H,-4.4,1,391.8054439
COc1c(Cl)cc(Cl)c(OC)c1O,"InChI=1S/C8H8Cl2O3/c1-12-7-4(9)3-5(10)8(13-2)6(7)11/h3,11H,1-2H3",-6.44,2,221.9850495
Cc1ccccc1C=O,"InChI=1S/C8H8O/c1-7-4-2-3-5-8(7)6-9/h2-6H,1H3",-3.93,1,120.0575149
Cc1cccs1,"InChI=1S/C5H6S/c1-5-3-2-4-6-5/h2-4H,1H3",-1.38,0,98.01902119
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,InChI=1S/C6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9,-2.33,0,281.8131161
c1ccc2c(c1)Cc1ccccc1-2,"InChI=1S/C13H10/c1-3-7-12-10(5-1)9-11-6-2-4-8-13(11)12/h1-8H,9H2",-3.35,0,166.0782503
CC(C)CC(C)(C)C,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",2.89,1,114.1408506
ClC=C(Cl)Cl,InChI=1S/C2HCl3/c3-1-2(4)5/h1H,-0.44,0,129.9143831
CC(=O)C(C)(C)C,"InChI=1S/C6H12O/c1-5(7)6(2,3)4/h1-4H3",-3.11,0,100.088815
Cc1ccc(N)cc1,"InChI=1S/C7H9N/c1-6-2-4-7(8)5-3-6/h2-5H,8H2,1H3",-5.57,0,107.0734993
CCCOC(=O)c1ccc(O)cc1,"InChI=1S/C10H12O3/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6,11H,2,7H2,1H3",-9.37,3,180.0786442
Oc1ccccc1I,"InChI=1S/C6H5IO/c7-5-3-1-2-4-6(5)8/h1-4,8H",-6.2,0,219.9385128
O=[N+]([O-])c1cccc(O)c1,"InChI=1S/C6H5NO3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H",-9.62,1,139.026943
FC(F)(Cl)C(F)(Cl)Cl,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",1.77,1,185.9017677
CCCCCCC=O,"InChI=1S/C7H14O/c1-2-3-4-5-6-7-8/h7H,2-6H2,1H3",-2.67,5,114.1044651
CCCCCCCCCCO,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",-3.64,8,158.1670653
N#Cc1c(Cl)cccc1Cl,InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H,-4.71,0,170.9642545
ClC(Cl)C(Cl)Cl,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,-2.37,1,165.8910608
CCCCCl,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",-0.16,2,92.03927797
CCCCCCc1ccccc1,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",-0.04,5,162.1408506
CCNc1nc(NC(C)(C)C)nc(SC)n1,"InChI=1S/C10H19N5S/c1-6-11-7-12-8(15-10(2,3)4)14-9(13-7)16-5/h6H2,1-5H3,(H2,11,12,13,14,15)",-6.68,4,241.1361166
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,"InChI=1S/C11H16ClO2PS3/c1-3-13-15(16,14-4-2)18-9-17-11-7-5-10(12)6-8-11/h5-8H,3-4,9H2,1-2H3",-6.5,8,341.9738571
O=c1[nH]c(=O)[nH]c(=O)[nH]1,"InChI=1S/C3H3N3O3/c7-1-4-2(8)6-3(9)5-1/h(H3,4,5,6,7,8,9)",-18.06,0,129.017441
CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,"InChI=1S/C14H17ClNO4PS2/c1-3-19-21(22,20-4-2)23-12(9-15)16-13(17)10-7-5-6-8-11(10)14(16)18/h5-8,12H,3-4,9H2,1-2H3/t12-/m0/s1",-5.74,8,393.0025143
ClC(Cl)(Cl)C(Cl)(Cl)Cl,"InChI=1S/C2Cl6/c3-1(4,5)2(6,7)8",-0.64,0,233.8131161
COC(=O)CC#N,"InChI=1S/C4H5NO2/c1-7-4(6)2-3-5/h2H2,1H3",-6.72,1,99.0320284
CC(=O)OCCC(C)C,"InChI=1S/C7H14O2/c1-6(2)4-5-9-7(3)8/h6H,4-5H2,1-3H3",-2.21,3,130.0993797
CCCCC(=O)CCCC,"InChI=1S/C9H18O/c1-3-5-7-9(10)8-6-4-2/h3-8H2,1-2H3",-2.64,6,142.1357652
CC(C)[C@@H]1CC[C@@H](C)CC1=O,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3/t8-,9+/m1/s1",-2.53,1,154.1357652
c1ccc(Oc2ccccc2)cc1,InChI=1S/C12H10O/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10H,-2.87,2,170.0731649
CC(C)O,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",-4.74,0,60.05751488
CC(C)OC(C)C,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",-0.53,2,102.1044651
FC(F)(F)Br,"InChI=1S/CBrF3/c2-1(3,4)5",1.79,0,147.9135468
COC(CCl)(OC)OC,"InChI=1S/C5H11ClO3/c1-7-5(4-6,8-2)9-3/h4H2,1-3H3",-4.59,4,154.0396719
CCCC(=O)CCC,"InChI=1S/C7H14O/c1-3-5-7(8)6-4-2/h3-6H2,1-2H3",-2.92,4,114.1044651
CC(=O)CC(C)C,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3",-3.05,2,100.088815
CCCCO,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",-4.72,2,74.07316494
CC1CCCCC1,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",1.7,0,98.10955045
O=C1[C@@H]2CC=CC[C@H]2C(=O)N1SC(Cl)(Cl)Cl,"InChI=1S/C9H8Cl3NO2S/c10-9(11,12)16-13-7(14)5-3-1-2-4-6(5)8(13)15/h1-2,5-6H,3-4H2/t5-,6-/m1/s1",-9.01,1,298.9341325
CCCC(=O)OCC,"InChI=1S/C6H12O2/c1-3-5-6(7)8-4-2/h3-5H2,1-2H3",-2.49,3,116.0837296
C1CNCCN1,"InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2",-7.4,0,86.08439832
CC(C)CO,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",-4.5,1,74.07316494
CCCOC,"InChI=1S/C4H10O/c1-3-4-5-2/h3-4H2,1-2H3",-1.66,2,74.07316494
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,InChI=1S/C12H4Cl4O2/c13-7-8(14)10(16)12-11(9(7)15)17-5-3-1-2-4-6(5)18-12/h1-4H,-3.81,0,319.8965401
CC(=O)C1CC1,"InChI=1S/C5H8O/c1-4(6)5-2-3-5/h5H,2-3H2,1H3",-4.61,1,84.05751488
COC(F)(F)C(Cl)Cl,"InChI=1S/C3H4Cl2F2O/c1-8-3(6,7)2(4)5/h2H,1H3",-1.12,2,163.9607265
CCCCCBr,"InChI=1S/C5H11Br/c1-2-3-4-5-6/h2-5H2,1H3",-0.1,3,150.0044125
CC(=O)c1ccccc1,"InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3",-4.58,1,120.0575149
c1c[nH]cn1,"InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)",-9.63,0,68.03744813
CCC/C=C/C=O,"InChI=1S/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3/b5-4+",-3.68,3,98.07316494
C=CCC=C,"InChI=1S/C5H8/c1-3-5-4-2/h3-4H,1-2,5H2",0.93,2,68.06260026
CCOC(=O)CCC(=O)OCC,"InChI=1S/C8H14O4/c1-3-11-7(9)5-6-8(10)12-4-2/h3-6H2,1-2H3",-5.71,5,174.0892089
O=c1[nH]cc(F)c(=O)[nH]1,"InChI=1S/C4H3FN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",-16.92,0,130.0178556
CCC(=O)OC,"InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3",-2.93,1,88.0524295
FC(F)(F)[C@H](Cl)Br,"InChI=1S/C2HBrClF3/c3-1(4)2(5,6)7/h1H/t1-/m0/s1",-0.11,0,195.8902245
Cc1ccc(O)c(C)c1,"InChI=1S/C8H10O/c1-6-3-4-8(9)7(2)5-6/h3-5,9H,1-2H3",-6.01,0,122.0731649
C[C@H](Cl)CCl,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3/t3-/m0/s1",-1.27,1,111.9846556
COc1cccc(O)c1,"InChI=1S/C7H8O2/c1-9-7-4-2-3-6(8)5-7/h2-5,8H,1H3",-7.66,1,124.0524295
Cc1ccc(C)c(O)c1,"InChI=1S/C8H10O/c1-6-3-4-7(2)8(9)5-6/h3-5,9H,1-2H3",-5.91,0,122.0731649
CC[C@@H](C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,"InChI=1S/C10H12N2O5/c1-3-6(2)8-4-7(11(14)15)5-9(10(8)13)12(16)17/h4-6,13H,3H2,1-2H3/t6-/m1/s1",-6.23,4,240.0746215
CCCO,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",-4.85,1,60.05751488
Ic1ccccc1,InChI=1S/C6H5I/c7-6-4-2-1-3-5-6/h1-5H,-1.74,0,203.9435982
CN(C)C,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,-3.2,0,59.07349929
CCCCC(=O)O,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)",-6.16,3,102.0680796
CCCCOC(C)=O,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",-2.64,3,116.0837296
OCC(F)(F)F,"InChI=1S/C2H3F3O/c3-2(4,5)1-6/h6H,1H2",-4.31,0,100.0135994
CCC(C)(C)C,"InChI=1S/C6H14/c1-5-6(2,3)4/h5H2,1-4H3",2.51,0,86.10955045
CCCCS,"InChI=1S/C4H10S/c1-2-3-4-5/h5H,2-4H2,1H3",-0.99,2,90.05032132
CC(C)NC(C)C,"InChI=1S/C6H15N/c1-5(2)7-6(3)4/h5-7H,1-4H3",-3.22,2,101.1204495
CC(=O)OCC(COC(C)=O)OC(C)=O,"InChI=1S/C9H14O6/c1-6(10)13-4-9(15-8(3)12)5-14-7(2)11/h9H,4-5H2,1-3H3",-8.84,5,218.0790382
OCCCc1ccccc1,"InChI=1S/C9H12O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,10H,4,7-8H2",-6.92,3,136.088815
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)/t10-/m0/s1",-7,4,206.1306798
CC(C)CO[N+](=O)[O-],"InChI=1S/C4H9NO3/c1-4(2)3-8-5(6)7/h4H,3H2,1-2H3",-1.88,3,119.0582431
CC[C@H](C)Cl,"InChI=1S/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3/t4-/m0/s1",0,1,92.03927797
Brc1ccc(Br)cc1,InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H,-2.3,0,233.8679743
ClCC(Cl)(Cl)Cl,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",-1.43,0,165.8910608
Cc1ccccc1[N+](=O)[O-],"InChI=1S/C7H7NO2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3",-3.58,1,137.0476785
CCCCCCCBr,"InChI=1S/C7H15Br/c1-2-3-4-5-6-7-8/h2-7H2,1H3",0.34,5,178.0357126
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H](Cl)C=C[C@@H]3[C@@]1(Cl)C2(Cl)Cl,"InChI=1S/C10H5Cl7/c11-4-2-1-3-5(4)9(15)7(13)6(12)8(3,14)10(9,16)17/h1-5H/t3-,4-,5-,8-,9+/m0/s1",-2.55,0,369.8210939
CC1=CC(=O)CC(C)(C)C1,"InChI=1S/C9H14O/c1-7-4-8(10)6-9(2,3)5-7/h4H,5-6H2,1-3H3",-5.18,0,138.1044651
Oc1cccc(Cl)c1,"InChI=1S/C6H5ClO/c7-5-2-1-3-6(8)4-5/h1-4,8H",-6.62,0,128.0028925
CCOC(C)OCC,"InChI=1S/C6H14O2/c1-4-7-6(3)8-5-2/h6H,4-5H2,1-3H3",-3.28,4,118.0993797
CCBr,"InChI=1S/C2H5Br/c1-2-3/h2H2,1H3",-0.74,0,107.9574623
CC(C)C(C)C,"InChI=1S/C6H14/c1-5(2)6(3)4/h5-6H,1-4H3",2.34,1,86.10955045
O=C1CCCCC1,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,-4.91,0,98.07316494
c1ccc(Cn2ccnc2)cc1,"InChI=1S/C10H10N2/c1-2-4-10(5-3-1)8-12-7-6-11-9-12/h1-7,9H,8H2",-7.63,2,158.0843983
CCOCC,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",-1.59,2,74.07316494
O=Cc1ccc(O)cc1,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H",-8.83,1,122.0367794
C=C(C)C,"InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3",1.16,0,56.06260026
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)c1,InChI=1S/C12H5Cl5/c13-7-1-2-9(14)8(5-7)6-3-10(15)12(17)11(16)4-6/h1-5H,-3.61,1,323.8833886
Oc1cccc2ccccc12,"InChI=1S/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H",-7.67,0,144.0575149
CCc1cccnc1,"InChI=1S/C7H9N/c1-2-7-4-3-5-8-6-7/h3-6H,2H2,1H3",-4.59,1,107.0734993
Cc1ccc(C)cc1,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",-0.8,0,106.0782503
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@@H](Cl)C[C@@H](Cl)[C@H]3[C@@]1(Cl)C2(Cl)Cl,"InChI=1S/C10H6Cl8/c11-2-1-3(12)5-4(2)8(15)6(13)7(14)9(5,16)10(8,17)18/h2-5H,1H2/t2-,3+,4-,5+,8+,9-",-3.44,0,405.7977716
C1=CCCC1,"InChI=1S/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2",0.56,0,68.06260026
CC(C)OC=O,"InChI=1S/C4H8O2/c1-4(2)6-3-5/h3-4H,1-2H3",-2.02,2,88.0524295
C=C(C)C(=C)C,"InChI=1S/C6H10/c1-5(2)6(3)4/h1,3H2,2,4H3",0.4,1,82.07825032
BrC(Br)Br,InChI=1S/CHBr3/c2-1(3)4/h1H,-2.13,0,249.7628363
CS(C)=O,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,-9.28,0,78.01393581
CCOC(C)=O,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",-2.94,1,88.0524295
CCOC(=O)C[C@@H](SP(=S)(OC)OC)C(=O)OCC,"InChI=1S/C10H19O6PS2/c1-5-15-9(11)7-8(10(12)16-6-2)19-17(18,13-3)14-4/h8H,5-7H2,1-4H3/t8-/m1/s1",-8.15,9,330.036067
Sc1ccccc1,"InChI=1S/C6H6S/c7-6-4-2-1-3-5-6/h1-5,7H",-2.55,0,110.0190212
Clc1ccccc1-c1ccccc1,InChI=1S/C12H9Cl/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,-2.69,1,188.039278
COC(=O)c1ccccc1,"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3",-3.92,1,136.0524295
Clc1ccc(Cl)cc1,InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H,-1.01,0,145.9690055
Clc1ccc2c(c1)Oc1ccccc1O2,InChI=1S/C12H7ClO2/c13-8-5-6-11-12(7-8)15-10-4-2-1-3-9(10)14-11/h1-7H,-3.1,0,218.0134571
CSC,InChI=1S/C2H6S/c1-3-2/h1-2H3,-1.61,0,62.01902119
OC1CCCCC1,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",-5.46,0,100.088815
OCCO,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",-9.3,1,62.03677943
CCCI,"InChI=1S/C3H7I/c1-2-3-4/h2-3H2,1H3",-0.53,1,169.9592482
Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,InChI=1S/C12H6Cl4/c13-9-6-8(7-4-2-1-3-5-7)10(14)12(16)11(9)15/h1-6H,-3.48,1,289.9223609
COC=O,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",-2.78,1,60.02112937
CC#N,InChI=1S/C2H3N/c1-2-3/h1H3,-3.88,0,41.0265491
O=c1cc(Cl)[nH]c(=O)[nH]1,"InChI=1S/C4H3ClN2O2/c5-2-1-3(8)7-4(9)6-2/h1H,(H2,6,7,8,9)",-15.83,0,145.988305
COCOC,"InChI=1S/C3H8O2/c1-4-3-5-2/h3H2,1-2H3",-2.93,2,76.0524295
CCCl,"InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3",-0.63,0,64.00797784
CCCCCOC(=O)CC,"InChI=1S/C8H16O2/c1-3-5-6-7-10-8(9)4-2/h3-7H2,1-2H3",-2.11,5,144.1150298
CCCCC(C)C,"InChI=1S/C7H16/c1-4-5-6-7(2)3/h7H,4-6H2,1-3H3",2.93,3,100.1252005
OCC(O)CO,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",-13.43,2,92.04734412
C1CCCC1,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2,1.2,0,70.07825032
COC(=O)C1CCCCC1,"InChI=1S/C8H14O2/c1-10-8(9)7-5-3-2-4-6-7/h7H,2-6H2,1H3",-3.3,1,142.0993797
CCCNCCC,"InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3",-3.65,4,101.1204495
CCCCCCN,"InChI=1S/C6H15N/c1-2-3-4-5-6-7/h2-7H2,1H3",-3.95,4,101.1204495
O=c1[nH]cc(I)c(=O)[nH]1,"InChI=1S/C4H3IN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",-18.72,0,237.9239253
CC(C)CBr,"InChI=1S/C4H9Br/c1-4(2)3-5/h4H,3H2,1-2H3",-0.03,1,135.9887624
c1ccc2ncccc2c1,InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H,-5.72,0,129.0578492
Nc1cccc(Cl)c1,"InChI=1S/C6H6ClN/c7-5-2-1-3-6(8)4-5/h1-4H,8H2",-5.82,0,127.0188769
CC(C)COC=O,"InChI=1S/C5H10O2/c1-5(2)3-7-4-6/h4-5H,3H2,1-2H3",-2.22,3,102.0680796
Cc1cccc(O)c1,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",-5.49,0,108.0575149
C=CC(=C)C,"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3",0.68,1,68.06260026
CCc1ccc(O)cc1,"InChI=1S/C8H10O/c1-2-7-3-5-8(9)6-4-7/h3-6,9H,2H2,1H3",-6.13,1,122.0731649
CCCCC,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",2.3,2,72.09390038
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,"InChI=1S/C12H21N2O3PS/c1-6-15-18(19,16-7-2)17-11-8-10(5)13-12(14-11)9(3)4/h8-9H,6-7H2,1-5H3",-6.48,7,304.1010502
Clc1cccc(Cl)c1Cl,InChI=1S/C6H3Cl3/c7-4-2-1-3-5(8)6(4)9/h1-3H,-1.24,0,179.9300331
c1ccccc1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,-0.9,0,78.04695019
CCCC(=O)O,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)",-6.35,2,88.0524295
C=C[C@@](C)(CCC=C(C)C)OC(C)=O,"InChI=1S/C12H20O2/c1-6-12(5,14-11(4)13)9-7-8-10(2)3/h6,8H,1,7,9H2,2-5H3/t12-/m0/s1",-2.49,5,196.1463299
COS(C)(=O)=O,"InChI=1S/C2H6O3S/c1-5-6(2,3)4/h1-2H3",-4.87,1,110.0037651
CCCC(C)(C)C,"InChI=1S/C7H16/c1-5-6-7(2,3)4/h5-6H2,1-4H3",2.88,1,100.1252005
CCCCc1ccccc1,"InChI=1S/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3",-0.4,3,134.1095504
CN1CCN(C)CC1,"InChI=1S/C6H14N2/c1-7-3-5-8(2)6-4-7/h3-6H2,1-2H3",-7.58,0,114.1156984
C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,"InChI=1S/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/t11-/m0/s1",-10.78,4,254.0942943
C1=CC=CCC=C1,"InChI=1S/C7H8/c1-2-4-6-7-5-3-1/h1-6H,7H2",-0.99,0,92.06260026
C=C(C)c1ccccc1,"InChI=1S/C9H10/c1-8(2)9-6-4-3-5-7-9/h3-7H,1H2,2H3",-1.24,1,118.0782503
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,InChI=1S/C6Cl5NO2/c7-1-2(8)4(10)6(12(13)14)5(11)3(1)9,-5.22,1,292.8371666
CCCCCCCl,"InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3",0,4,120.0705781
C=CCCC=C,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H,1-2,5-6H2",1.01,3,82.07825032
C=CCCCCCC,"InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3",1.92,5,112.1252005
Nc1ccccc1Cl,"InChI=1S/C6H6ClN/c7-5-3-1-2-4-6(5)8/h1-4H,8H2",-4.91,0,127.0188769
CBr,InChI=1S/CH3Br/c1-2/h1H3,-0.82,0,93.9418122
CCCC,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",2.1,1,58.07825032
Cc1ccc(C(=O)N(C)C)cc1,"InChI=1S/C10H13NO/c1-8-4-6-9(7-5-8)10(12)11(2)3/h4-7H,1-3H3",-9.76,1,163.099714
CC(C)C(C)C(C)C,"InChI=1S/C8H18/c1-6(2)8(5)7(3)4/h6-8H,1-5H3",2.56,2,114.1408506
C=C(c1ccccc1)c1ccccc1,"InChI=1S/C14H12/c1-12(13-8-4-2-5-9-13)14-10-6-3-7-11-14/h2-11H,1H2",-2.78,2,180.0939004
C=CCCCCC,"InChI=1S/C7H14/c1-3-5-7-6-4-2/h3H,1,4-7H2,2H3",1.66,4,98.10955045
CC[C@H](C)O[N+](=O)[O-],"InChI=1S/C4H9NO3/c1-3-4(2)8-5(6)7/h4H,3H2,1-2H3/t4-/m0/s1",-1.82,3,119.0582431
CC(C)=CCC/C(C)=C\CO,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-",-4.78,4,154.1357652
C[C@@H](O)C(F)(F)F,"InChI=1S/C3H5F3O/c1-2(7)3(4,5)6/h2,7H,1H3/t2-/m1/s1",-4.2,0,114.0292494
CC(C)I,"InChI=1S/C3H7I/c1-3(2)4/h3H,1-2H3",-0.46,0,169.9592482
CSSC,InChI=1S/C2H6S2/c1-3-4-2/h1-2H3,-1.83,1,93.99109219
CCCOC(=O)CCC,"InChI=1S/C7H14O2/c1-3-5-7(8)9-6-4-2/h3-6H2,1-2H3",-2.28,4,130.0993797
CC(C)CCOC=O,"InChI=1S/C6H12O2/c1-6(2)3-4-8-5-7/h5-6H,3-4H2,1-2H3",-2.13,4,116.0837296
C[C@H]1CCCO1,"InChI=1S/C5H10O/c1-5-3-2-4-6-5/h5H,2-4H2,1H3/t5-/m0/s1",-3.3,0,86.07316494
CC(=O)CO[N+](=O)[O-],"InChI=1S/C3H5NO4/c1-3(5)2-8-4(6)7/h2H2,1H3",-5.99,3,119.0218576
CS,"InChI=1S/CH4S/c1-2/h2H,1H3",-1.2,0,48.00337113
