FileHandle,SoluteName,SMILES,Sol,Mol,InChI,RB,MW
0004nbu,n-butane,C(CC)C,2.08,<rdkit.Chem.rdchem.Mol object at 0x1a18df4ad0>,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",1,58.078250319999995
0079pen,3-pentanone,CCC(=O)CC,-3.41,<rdkit.Chem.rdchem.Mol object at 0x1a18df4b20>,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3",2,86.07316494
0138pro,1-propanethiol,CCCS,-1.05,<rdkit.Chem.rdchem.Mol object at 0x1a18df4b70>,"InChI=1S/C3H8S/c1-2-3-4/h4H,2-3H2,1H3",1,76.034671256
0165tri,"1,1,1-trichloroethane",ClC(C)(Cl)Cl,-0.25,<rdkit.Chem.rdchem.Mol object at 0x1a18df4bc0>,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",0,131.930033136
0173tri,trichloroethene,C(=CCl)(Cl)Cl,-0.39,<rdkit.Chem.rdchem.Mol object at 0x1a18df4c10>,InChI=1S/C2HCl3/c3-1-2(4)5/h1H,0,129.914383072
0425dbr,"3,5-dibromo-4-hydroxybenzonitrile",c1(c(cc(C#N)cc1Br)Br)O,-9.0,<rdkit.Chem.rdchem.Mol object at 0x1a18df4c60>,"InChI=1S/C7H3Br2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",0,274.85813791600003
0051cyc,cyclopentanol,C1(O)CCCC1,-5.49,<rdkit.Chem.rdchem.Mol object at 0x1a18df4cb0>,"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2",0,86.07316494
0071proa,propanal,CCC=O,-3.44,<rdkit.Chem.rdchem.Mol object at 0x1a18df4d00>,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",1,58.041864812
test4003,iodomethane,CI,-0.89,<rdkit.Chem.rdchem.Mol object at 0x1a18df4d50>,InChI=1S/CH3I/c1-2/h1H3,0,141.927948096
0007nhe,n-heptane,CCCCCCC,2.62,<rdkit.Chem.rdchem.Mol object at 0x1a18df4da0>,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",4,100.12520051199999
0040pxy,p-xylene,c1(ccc(cc1)C)C,-0.81,<rdkit.Chem.rdchem.Mol object at 0x1a18df4df0>,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",0,106.07825032
0042ant,anthracene,c1c2c(cc3c1cccc3)cccc2,-4.23,<rdkit.Chem.rdchem.Mol object at 0x1a18df4e40>,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,0,178.07825032
0175odi,"1,2-dichlorobenzene",c1(c(cccc1)Cl)Cl,-1.36,<rdkit.Chem.rdchem.Mol object at 0x1a18df4e90>,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,0,145.969005488
0187dib,p-dibromobenzene,c1(ccc(cc1)Br)Br,-2.3,<rdkit.Chem.rdchem.Mol object at 0x1a18df4ee0>,InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H,0,233.867974328
0239oct,2-octanone,C(CC(=O)C)CCCC,-2.88,<rdkit.Chem.rdchem.Mol object at 0x1a18df4f30>,"InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3",5,128.120115132
0414dcl,"2,2'-dichlorobiphenyl",Clc1ccccc1c1ccccc1Cl,-2.73,<rdkit.Chem.rdchem.Mol object at 0x1a18df4f80>,InChI=1S/C12H8Cl2/c13-11-7-3-1-5-9(11)10-6-2-4-8-12(10)14/h1-8H,1,222.000305616
0001met,methane,C,2.0,<rdkit.Chem.rdchem.Mol object at 0x1a18df5030>,InChI=1S/CH4/h1H4,0,16.031300127999998
0002eth,ethane,CC,1.83,<rdkit.Chem.rdchem.Mol object at 0x1a18df5080>,InChI=1S/C2H6/c1-2/h1-2H3,0,30.046950192
0010met,2-methylpropane,CC(C)C,2.32,<rdkit.Chem.rdchem.Mol object at 0x1a18df50d0>,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",0,58.078250319999995
0011dim,"2,2-dimethylpropane",C(C)(C)(C)C,2.5,<rdkit.Chem.rdchem.Mol object at 0x1a18df5120>,"InChI=1S/C5H12/c1-5(2,3)4/h1-4H3",0,72.093900384
0012met,2-methylpentane,CCCC(C)C,2.52,<rdkit.Chem.rdchem.Mol object at 0x1a18df5170>,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3",2,86.109550448
0013dim,"2,4-dimethylpentane",CC(CC(C)C)C,2.88,<rdkit.Chem.rdchem.Mol object at 0x1a18df51c0>,"InChI=1S/C7H16/c1-6(2)5-7(3)4/h6-7H,5H2,1-4H3",2,100.12520051199999
0014tri,"2,2,4-trimethylpentane",CC(CC(C)C)(C)C,2.85,<rdkit.Chem.rdchem.Mol object at 0x1a18df5210>,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",1,114.14085057599999
0016cyc,cyclopropane,C1CC1,0.75,<rdkit.Chem.rdchem.Mol object at 0x1a18df5260>,InChI=1S/C3H6/c1-2-3-1/h1-3H2,0,42.046950192
0017cyc,cyclopentane,C1CCCC1,1.2,<rdkit.Chem.rdchem.Mol object at 0x1a18df52b0>,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2,0,70.07825032
0019met,methylcyclohexane,C1(CCCCC1)C,1.71,<rdkit.Chem.rdchem.Mol object at 0x1a18df5300>,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",0,98.109550448
0021eth,ethene,C=C,1.27,<rdkit.Chem.rdchem.Mol object at 0x1a18df5350>,InChI=1S/C2H4/c1-2/h1-2H2,0,28.031300127999998
0022pro,propene,C=CC,1.27,<rdkit.Chem.rdchem.Mol object at 0x1a18df53a0>,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",0,42.046950192
0023str,"s-trans-1,3-butadiene",C(=C)C=C,0.61,<rdkit.Chem.rdchem.Mol object at 0x1a18df53f0>,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",1,54.046950192
0027pen,1-pentene,C=CCCC,1.66,<rdkit.Chem.rdchem.Mol object at 0x1a18df5440>,"InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3",2,70.07825032
0029hex,1-hexene,C=CCCCC,1.68,<rdkit.Chem.rdchem.Mol object at 0x1a18df5490>,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",3,84.093900384
0030eth,ethyne,C#C,-0.01,<rdkit.Chem.rdchem.Mol object at 0x1a18df54e0>,InChI=1S/C2H2/c1-2/h1-2H,0,26.015650064
0031pro,propyne,C#CC,-0.31,<rdkit.Chem.rdchem.Mol object at 0x1a18df5530>,"InChI=1S/C3H4/c1-3-2/h1H,2H3",0,40.031300128
0032but,1-butyne,C#CCC,-0.16,<rdkit.Chem.rdchem.Mol object at 0x1a18df5580>,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3",0,54.046950192
0033pen,1-pentyne,C(CC)C#C,0.01,<rdkit.Chem.rdchem.Mol object at 0x1a18df55d0>,"InChI=1S/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3",1,68.062600256
0034hex,1-hexyne,C#CCCCC,0.29,<rdkit.Chem.rdchem.Mol object at 0x1a18df5620>,"InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3",2,82.07825032
0060dim,dimethylether,O(C)C,-1.92,<rdkit.Chem.rdchem.Mol object at 0x1a18df5670>,InChI=1S/C2H6O/c1-3-2/h1-2H3,0,46.041864812
0061tet,tetrahydrofuran,C1CCOC1,-3.47,<rdkit.Chem.rdchem.Mol object at 0x1a18df56c0>,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,0,72.057514876
0066dim,"1,2-dimethoxyethane",C(COC)OC,-4.84,<rdkit.Chem.rdchem.Mol object at 0x1a18df5710>,"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3",3,90.06807956
0072but,butanal,C(CC)C=O,-3.18,<rdkit.Chem.rdchem.Mol object at 0x1a18df5760>,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",2,72.057514876
0073pen,pentanal,CCCCC=O,-3.03,<rdkit.Chem.rdchem.Mol object at 0x1a18df57b0>,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3",3,86.07316494
0083hep,4-heptanone,CCCC(=O)CCC,-2.93,<rdkit.Chem.rdchem.Mol object at 0x1a18df5800>,"InChI=1S/C7H14O/c1-3-5-7(8)6-4-2/h3-6H2,1-2H3",4,114.104465068
0085non,5-nonanone,C(CCC(=O)CCCC)C,-2.67,<rdkit.Chem.rdchem.Mol object at 0x1a18df5850>,"InChI=1S/C9H18O/c1-3-5-7-9(10)8-6-4-2/h3-8H2,1-2H3",6,142.135765196
0091met,methylformate,O=COC,-2.78,<rdkit.Chem.rdchem.Mol object at 0x1a18df58a0>,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",1,60.021129368
0092ethb,ethylformate,O=COCC,-2.65,<rdkit.Chem.rdchem.Mol object at 0x1a18df58f0>,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3",2,74.036779432
0096met,methylbutanoate,C(CC(=O)OC)C,-2.83,<rdkit.Chem.rdchem.Mol object at 0x1a18df5940>,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3",2,102.06807956
0113pen,pentylamine,C(CCN)CC,-4.1,<rdkit.Chem.rdchem.Mol object at 0x1a18df5990>,"InChI=1S/C5H13N/c1-2-3-4-5-6/h2-6H2,1H3",3,87.10479941599999
0123dim,"2,4-dimethylpyridine",c1(nccc(c1)C)C,-4.86,<rdkit.Chem.rdchem.Mol object at 0x1a18df59e0>,"InChI=1S/C7H9N/c1-6-3-4-8-7(2)5-6/h3-5H,1-2H3",0,107.073499288
0124dim,"2,5-dimethylpyridine",c1(ncc(cc1)C)C,-4.72,<rdkit.Chem.rdchem.Mol object at 0x1a18df5a30>,"InChI=1S/C7H9N/c1-6-3-4-7(2)8-5-6/h3-5H,1-2H3",0,107.073499288
0127pro,propionitrile,C(#N)CC,-3.85,<rdkit.Chem.rdchem.Mol object at 0x1a18df5a80>,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",0,55.042199159999996
0128butb,butanonitrile,C(#N)CCC,-3.64,<rdkit.Chem.rdchem.Mol object at 0x1a18df5ad0>,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3",1,69.057849224
0130nit,nitroethane,N(=O)(=O)CC,-3.71,<rdkit.Chem.rdchem.Mol object at 0x1a18df5b20>,"InChI=1S/C2H5NO2/c1-2-3(4)5/h2H2,1H3",1,75.0320284
0132nit,2-nitropropane,N(=O)(=O)C(C)C,-3.14,<rdkit.Chem.rdchem.Mol object at 0x1a18df5b70>,"InChI=1S/C3H7NO2/c1-3(2)4(5)6/h3H,1-2H3",1,89.047678464
0133nit,1-nitrobutane,C(CCN(=O)=O)C,-3.08,<rdkit.Chem.rdchem.Mol object at 0x1a18df5bc0>,"InChI=1S/C4H9NO2/c1-2-3-4-5(6)7/h2-4H2,1H3",3,103.063328528
0137ethb,ethanethiol,SCC,-1.3,<rdkit.Chem.rdchem.Mol object at 0x1a18df5c10>,"InChI=1S/C2H6S/c1-2-3/h3H,2H2,1H3",0,62.019021192
0140dim,dimethylsulfide,S(C)C,-1.54,<rdkit.Chem.rdchem.Mol object at 0x1a18df5c60>,InChI=1S/C2H6S/c1-3-2/h1-2H3,0,62.019021192
0141dim,dimethyldisulfide,S(SC)C,-1.83,<rdkit.Chem.rdchem.Mol object at 0x1a18df5cb0>,InChI=1S/C2H6S2/c1-3-4-2/h1-2H3,1,93.991092192
0143dip,dipropylsulfide,S(CCC)CCC,-1.27,<rdkit.Chem.rdchem.Mol object at 0x1a18df5d00>,"InChI=1S/C6H14S/c1-3-5-7-6-4-2/h3-6H2,1-2H3",4,118.08162144799999
0161dic,dichloromethane,ClCCl,-1.36,<rdkit.Chem.rdchem.Mol object at 0x1a18df5d50>,InChI=1S/CH2Cl2/c2-1-3/h1H2,0,83.953355424
0163chl,chloroethane,ClCC,-0.63,<rdkit.Chem.rdchem.Mol object at 0x1a18df5da0>,"InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3",0,64.00797784
0166tri,"1,1,2-trichloroethane",C(CCl)(Cl)Cl,-1.95,<rdkit.Chem.rdchem.Mol object at 0x1a18df5df0>,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",1,131.930033136
0167chla,1-chloropropane,C(CC)Cl,-0.27,<rdkit.Chem.rdchem.Mol object at 0x1a18df5e40>,"InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3",1,78.023627904
0168chl,2-chloropropane,CC(C)Cl,-0.25,<rdkit.Chem.rdchem.Mol object at 0x1a18df5e90>,"InChI=1S/C3H7Cl/c1-3(2)4/h3H,1-2H3",0,78.023627904
0170chl,3-chloropropene,C(=C)CCl,-0.57,<rdkit.Chem.rdchem.Mol object at 0x1a18df5ee0>,"InChI=1S/C3H5Cl/c1-2-3-4/h2H,1,3H2",1,76.00797784
0171Zdi,"Z-1,2-dichloroethene",C(=C\Cl)\Cl,-1.17,<rdkit.Chem.rdchem.Mol object at 0x1a18df5f30>,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-,0,95.953355424
0172Edi,"E-1,2-dichloroethene",C(=C\Cl)/Cl,-0.76,<rdkit.Chem.rdchem.Mol object at 0x1a18df5f80>,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1+,0,95.953355424
0178dib,dibromomethane,BrCBr,-2.11,<rdkit.Chem.rdchem.Mol object at 0x1a18df6030>,InChI=1S/CH2Br2/c2-1-3/h1H2,0,171.852324264
0182bro,1-bromopropane,CCCBr,-0.56,<rdkit.Chem.rdchem.Mol object at 0x1a18df6080>,"InChI=1S/C3H7Br/c1-2-3-4/h2-3H2,1H3",1,121.973112324
0183bro,2-bromopropane,C(Br)(C)C,-0.48,<rdkit.Chem.rdchem.Mol object at 0x1a18df60d0>,"InChI=1S/C3H7Br/c1-3(2)4/h3H,1-2H3",0,121.973112324
0184bro,1-bromobutane,CCCCBr,-0.41,<rdkit.Chem.rdchem.Mol object at 0x1a18df6120>,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3",2,135.988762388
0185bro,1-bromopentane,C(CCC)CBr,-0.08,<rdkit.Chem.rdchem.Mol object at 0x1a18df6170>,"InChI=1S/C5H11Br/c1-2-3-4-5-6/h2-5H2,1H3",3,150.004412452
0201bro,"1-bromo-1-chloro-2,2,2-trifluoroethane",C([C@@H](Cl)Br)(F)(F)F,-0.13,<rdkit.Chem.rdchem.Mol object at 0x1a18df61c0>,"InChI=1S/C2HBrClF3/c3-1(4)2(5,6)7/h1H/t1-/m1/s1",0,195.890224472
0203bro,"1-bromo-1,2,2,2-tetrafluoroethane",C([C@@H](F)Br)(F)(F)F,0.52,<rdkit.Chem.rdchem.Mol object at 0x1a18df6210>,"InChI=1S/C2HBrF4/c3-1(4)2(5,6)7/h1H/t1-/m1/s1",0,179.919775012
0204tet,tetrachloroethene,C(=C(Cl)Cl)(Cl)Cl,0.05,<rdkit.Chem.rdchem.Mol object at 0x1a18df6260>,InChI=1S/C2Cl4/c3-1(4)2(5)6,0,163.87541072
0206tri,"1,1,2-trichloro-1,2,2-trifluoroethane",C(C(Cl)(F)F)(F)(Cl)Cl,1.77,<rdkit.Chem.rdchem.Mol object at 0x1a18df62b0>,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",1,185.9017677
0214tri,"2,2,2-trifluorethylvinylether",O(CC(F)(F)F)C=C,-0.12,<rdkit.Chem.rdchem.Mol object at 0x1a18df6300>,"InChI=1S/C4H5F3O/c1-2-8-3-4(5,6)7/h2H,1,3H2",2,126.02924944
0223die,diethyldisulfide,S(SCC)CC,-1.63,<rdkit.Chem.rdchem.Mol object at 0x1a18df6350>,"InChI=1S/C4H10S2/c1-3-5-6-4-2/h3-4H2,1-2H3",3,122.02239232
0237oct,octanal,C(CC=O)CCCCC,-2.29,<rdkit.Chem.rdchem.Mol object at 0x1a18df63a0>,"InChI=1S/C8H16O/c1-2-3-4-5-6-7-8-9/h8H,2-7H2,1H3",6,128.120115132
0400hyd,hydrogen,[H][H],2.33,<rdkit.Chem.rdchem.Mol object at 0x1a18df63f0>,InChI=1S/H2/h1H,0,2.015650064
0417brp,3-bromopropene,C(C=C)Br,-0.86,<rdkit.Chem.rdchem.Mol object at 0x1a18df6440>,"InChI=1S/C3H5Br/c1-2-3-4/h2H,1,3H2",1,119.95746226
0418bri,1-bromo-isobutane,CC(C)CBr,-0.03,<rdkit.Chem.rdchem.Mol object at 0x1a18df6490>,"InChI=1S/C4H9Br/c1-4(2)3-5/h4H,3H2,1-2H3",1,135.988762388
0419brt,bromotoluene,c1(ccccc1)CBr,-2.37,<rdkit.Chem.rdchem.Mol object at 0x1a18df64e0>,"InChI=1S/C7H7Br/c8-6-7-4-2-1-3-5-7/h1-5H,6H2",1,169.973112324
0420pbr,p-bromotoluene,Cc1ccc(cc1)Br,-1.39,<rdkit.Chem.rdchem.Mol object at 0x1a18df6530>,"InChI=1S/C7H7Br/c1-6-2-4-7(8)5-3-6/h2-5H,1H3",0,169.973112324
0423brt,bromotrichloromethane,C(Cl)(Cl)(Cl)Br,-0.93,<rdkit.Chem.rdchem.Mol object at 0x1a18df6580>,"InChI=1S/CBrCl3/c2-1(3,4)5",0,195.82489514
0471dim,"3,4-dimethylpyridine",c1cncc(c1C)C,-5.22,<rdkit.Chem.rdchem.Mol object at 0x1a18df65d0>,"InChI=1S/C7H9N/c1-6-3-4-8-5-7(6)2/h3-5H,1-2H3",0,107.073499288
0574eth,4-ethylpyridine,c1cnccc1CC,-4.74,<rdkit.Chem.rdchem.Mol object at 0x1a18df6620>,"InChI=1S/C7H9N/c1-2-7-3-5-8-6-4-7/h3-6H,2H2,1H3",1,107.073499288
0939tet,tetramethylsilane,[Si](C)(C)(C)C,3.04,<rdkit.Chem.rdchem.Mol object at 0x1a18df6670>,"InChI=1S/C4H12Si/c1-5(2,3)4/h1-4H3",0,88.070826914
test4002,diiodomethane,C(I)I,-2.49,<rdkit.Chem.rdchem.Mol object at 0x1a18df66c0>,InChI=1S/CH2I2/c2-1-3/h1H2,0,267.824596064
test4004,iodoethane,C(I)C,-0.72,<rdkit.Chem.rdchem.Mol object at 0x1a18df6710>,"InChI=1S/C2H5I/c1-2-3/h2H2,1H3",0,155.94359816
test4006,1-iodopropane,CCCI,-0.59,<rdkit.Chem.rdchem.Mol object at 0x1a18df6760>,"InChI=1S/C3H7I/c1-2-3-4/h2-3H2,1H3",1,169.959248224
test4007,1-iodobutane,C(CCI)C,-0.25,<rdkit.Chem.rdchem.Mol object at 0x1a18df67b0>,"InChI=1S/C4H9I/c1-2-3-4-5/h2-4H2,1H3",2,183.974898288
test4008,1-iodopentane,C(CCI)CC,-0.12,<rdkit.Chem.rdchem.Mol object at 0x1a18df6800>,"InChI=1S/C5H11I/c1-2-3-4-5-6/h2-5H2,1H3",3,197.990548352
0109pip,piperazine,C1CNCCN1,-7.4,<rdkit.Chem.rdchem.Mol object at 0x1a18df6850>,"InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2",0,86.08439831999999
0064met,methylpropylether,O(C)CCC,-1.66,<rdkit.Chem.rdchem.Mol object at 0x1a18df68a0>,"InChI=1S/C4H10O/c1-3-4-5-2/h3-4H2,1-2H3",2,74.07316494
0065met,methylisopropylether,COC(C)C,-2.01,<rdkit.Chem.rdchem.Mol object at 0x1a18df68f0>,"InChI=1S/C4H10O/c1-4(2)5-3/h4H,1-3H3",1,74.07316494
0067but,t-butylmethylether,O(C(C)(C)C)C,-2.21,<rdkit.Chem.rdchem.Mol object at 0x1a18df6940>,"InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",0,88.088815004
0154dif,"1,1-difluoroethane",C(C)(F)F,-0.11,<rdkit.Chem.rdchem.Mol object at 0x1a18df6990>,"InChI=1S/C2H4F2/c1-2(3)4/h2H,1H3",0,66.028106568
0177bro,bromomethane,BrC,-0.82,<rdkit.Chem.rdchem.Mol object at 0x1a18df69e0>,InChI=1S/CH3Br/c1-2/h1H3,0,93.941812196
0197bro,bromotrifluoromethane,BrC(F)(F)F,1.79,<rdkit.Chem.rdchem.Mol object at 0x1a18df6a30>,"InChI=1S/CBrF3/c2-1(3,4)5",0,147.91354676
0199chl,chlorodifluoromethane,C(Cl)(F)F,-0.5,<rdkit.Chem.rdchem.Mol object at 0x1a18df6a80>,InChI=1S/CHClF2/c2-1(3)4/h1H,0,85.973484152
0200tet,tetrafluoromethane,C(F)(F)(F)F,3.16,<rdkit.Chem.rdchem.Mol object at 0x1a18df6ad0>,"InChI=1S/CF4/c2-1(3,4)5",0,87.99361288
0211tri,"1,1,1-trifluoropropan-2-ol",O[C@H](C)C(F)(F)F,-4.16,<rdkit.Chem.rdchem.Mol object at 0x1a18df6b20>,"InChI=1S/C3H5F3O/c1-2(7)3(4,5)6/h2,7H,1H3/t2-/m1/s1",0,114.02924944
0212hex,"1,1,1,3,3,3-hexafluoropropan-2-ol",OC(C(F)(F)F)C(F)(F)F,-3.77,<rdkit.Chem.rdchem.Mol object at 0x1a18df6b70>,"InChI=1S/C3H2F6O/c4-2(5,6)1(10)3(7,8)9/h1,10H",0,168.000984004
0415dcl,"2,3-dichlorobiphenyl",Clc1cccc(c1Cl)c1ccccc1,-2.45,<rdkit.Chem.rdchem.Mol object at 0x1a18df6bc0>,InChI=1S/C12H8Cl2/c13-11-8-4-7-10(12(11)14)9-5-2-1-3-6-9/h1-8H,1,222.000305616
0416dcl,"2,2',3'-trichlorobiphenyl",Clc1cccc(c1Cl)c1ccccc1Cl,-1.99,<rdkit.Chem.rdchem.Mol object at 0x1a18df6c10>,InChI=1S/C12H7Cl3/c13-10-6-2-1-4-8(10)9-5-3-7-11(14)12(9)15/h1-7H,1,255.961333264
0426dcl,"2,6-dichlorobenzonitrile",Clc1cccc(Cl)c1C#N,-5.22,<rdkit.Chem.rdchem.Mol object at 0x1a18df6c60>,InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H,0,170.964254456
0428ami,"4-amino-3,5,6-trichloropyridine-2-carboxylicacid",c1(c(Cl)c(Cl)nc(C(=O)O)c1Cl)N,-11.96,<rdkit.Chem.rdchem.Mol object at 0x1a18df6cb0>,"InChI=1S/C6H3Cl3N2O2/c7-1-3(10)2(8)5(9)11-4(1)6(12)13/h(H2,10,11)(H,12,13)",1,239.926010376
0437pho,methyl3-methyl-4-thiomethoxyphenylthiophosphate,CO[P@](O)(Oc1ccc(c(c1)C)SC)[S],-6.92,<rdkit.Chem.rdchem.Mol object at 0x1a18df6d00>,"InChI=1S/C9H13O3PS2/c1-7-6-8(4-5-9(7)15-3)12-13(10,14)11-2/h4-6H,1-3H3,(H,10,14)/t13-/m1/s1",4,264.004372906
0438pho,"diethyl2,4-dichlorophenylthiophosphate",C(C)OP(Oc1ccc(Cl)cc1Cl)(OCC)[S],-3.86,<rdkit.Chem.rdchem.Mol object at 0x1a18df6d50>,"InChI=1S/C10H14Cl2O3PS/c1-3-13-16(17,14-4-2)15-10-6-5-8(11)7-9(10)12/h5-7,16H,3-4H2,1-2H3",6,314.977832298
0442pho,O-ethylO'-4-bromo-2-chlorophenylS-propylphosphorothioate,C(CC)S[P@@](=O)(Oc1c(Cl)cc(cc1)Br)OCC,-4.09,<rdkit.Chem.rdchem.Mol object at 0x1a18df6da0>,"InChI=1S/C11H15BrClO3PS/c1-3-7-18-17(14,15-4-2)16-11-6-5-9(12)8-10(11)13/h5-6,8H,3-4,7H2,1-2H3/t17-/m1/s1",7,371.93514174999996
0444pho,"dimethyl2,4,5-trichlorophenylthiophosphate",c1(cc(c(cc1Cl)Cl)Cl)OP(OC)(OC)[S],-5.06,<rdkit.Chem.rdchem.Mol object at 0x1a18df6df0>,"InChI=1S/C8H9Cl3O3PS/c1-12-15(16,13-2)14-8-4-6(10)5(9)3-7(8)11/h3-4,15H,1-2H3",4,320.907559818
0445pho,"dimethyl4-bromo-2,5-dichlorophenylthiophosphate",COP(Oc1c(Cl)cc(c(Cl)c1)Br)(OC)[S],-5.7,<rdkit.Chem.rdchem.Mol object at 0x1a18df6e40>,"InChI=1S/C8H9BrCl2O3PS/c1-12-15(16,13-2)14-8-4-6(10)5(9)3-7(8)11/h3-4,15H,1-2H3",4,364.85704423799996
0449pho,ethyl4-cyanophenylphenylthiophosphonate,C(C)O[P@](c1ccccc1)(Oc1ccc(C#N)cc1)[S],-5.1,<rdkit.Chem.rdchem.Mol object at 0x1a18df6e90>,"InChI=1S/C15H14NO2PS/c1-2-17-19(20,15-6-4-3-5-7-15)18-14-10-8-13(12-16)9-11-14/h3-11H,2H2,1H3/t19-/m1/s1",5,303.04828631799995
n005,methylhydrazine,N(N)C,-5.31,<rdkit.Chem.rdchem.Mol object at 0x1a18df6ee0>,"InChI=1S/CH6N2/c1-3-2/h3H,2H2,1H3",0,46.05309819199999
n201,5-trifluoromethyluracil,c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,-15.46,<rdkit.Chem.rdchem.Mol object at 0x1a18df6f30>,"InChI=1S/C5H3F3N2O2/c6-5(7,8)2-1-9-4(12)10-3(2)11/h1H,(H2,9,10,11,12)",0,180.014661996
n202,5-chlorouracil,c1c(c(=O)[nH]c(=O)[nH]1)Cl,-17.74,<rdkit.Chem.rdchem.Mol object at 0x1a18df6f80>,"InChI=1S/C4H3ClN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",0,145.988305016
test1035,"1,2,3,4,5,6-hexachlorocyclohexane(lindane)",[C@@H]1(Cl)[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl,-5.4,<rdkit.Chem.rdchem.Mol object at 0x1a18df7030>,"InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3-,4+,5+,6+",0,287.860066272
test2001,acetylsalicylicacid,c1ccc(c(c1)C(=O)O)OC(=O)C,-9.94,<rdkit.Chem.rdchem.Mol object at 0x1a18df7080>,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)",2,180.042258736
test2003,butylparaben,c1cc(ccc1C(=O)OCCCC)O,-8.72,<rdkit.Chem.rdchem.Mol object at 0x1a18df70d0>,"InChI=1S/C11H14O3/c1-2-3-8-14-11(13)9-4-6-10(12)7-5-9/h4-7,12H,2-3,8H2,1H3",4,194.094294308
test2004,caffeine,c1nc2c(c(=O)n(c(=O)n2C)C)n1C,-12.64,<rdkit.Chem.rdchem.Mol object at 0x1a18df7120>,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",0,194.08037556
test2007,cyanuricacid,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06,<rdkit.Chem.rdchem.Mol object at 0x1a18df7170>,"InChI=1S/C3H3N3O3/c7-1-4-2(8)6-3(9)5-1/h(H3,4,5,6,7,8,9)",0,129.017440956
